id,nombre,CreatedAt,UpdatedAt
1,La Paz,"2024-06-26 13:38:45","2024-06-26 13:38:45"
2,Oruro,"2024-06-26 13:38:45","2024-06-26 13:38:45"
3,Potosi,"2024-06-26 13:38:45","2024-06-26 13:38:45"
4,Cochabamba,"2024-06-26 13:38:45","2024-06-26 13:38:45"
5,Sucre,"2024-06-26 13:38:45","2024-06-26 13:38:45"
6,Tarija,"2024-06-26 13:38:45","2024-06-26 13:38:45"
7,Santa Cruz,"2024-06-26 13:38:45","2024-06-26 13:38:45"
8,Beni,"2024-06-26 13:38:45","2024-06-26 13:38:45"
9,Pando,"2024-06-26 13:38:45","2024-06-26 13:38:45"
