id,nombreAtraccion,nombreDepartamento
29,Feria de la Raza Brava,Beni
5,Carnaval de Oruro,Oruro
20,Parque Nacional Torotoro,Cochabamba
25,Parque Nacional Amboró,Santa Cruz
21,Laguna Alalay,Cochabamba
6,Mina San José,Oruro
10,Casa Nacional de la Moneda,Potosí
2,Valle de la Luna,La Paz
17,Represa de San Jacinto,Tarija
16,Parque Nacional Aguaragüe,Tarija
24,Plaza 24 de Septiembre,Santa Cruz
32,Centro Urbano de Cobija,Pando
18,Cristo de la Concordia,Cochabamba
19,Lago Corani,Cochabamba
1,Teleférico rojo,La Paz
31,Lago Bay,Pando
3,Isla del Sol,La Paz
8,Museo Nacional de Etnografía y Folklore,Oruro
7,Salar de Coipasa,Oruro
30,Reserva Nacional Manuripi,Pando
4,Complejo Arqueológico de Tiwanaku,La Paz
23,Jardín Botánico de Santa Cruz,Santa Cruz
28,Parque Nacional Madidi,Beni
12,Casa de la Libertad,Chuquisaca
14,Plaza 25 de Mayo,Chuquisaca
9,Cerro Rico,Potosí
22,Reserva Nacional Manuripi,Pando
26,Jardín Botánico de Santa Cruz,Santa Cruz
15,Valle de la Concepción,Tarija
11,Laguna Colorada,Potosí
13,Parque Cretácico,Chuquisaca
27,Pampas del Yacuma,Beni
